vehicle_id,date,time,full_record_name,,,,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-14-10.00002,标准存储,2025-01-26 22:25:18,1.1GB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-15-10.00003,标准存储,2025-01-26 22:25:16,1.05GB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-16-11.00004,标准存储,2025-01-26 22:25:14,880.02MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-17-11.00005,标准存储,2025-01-26 22:25:22,940.82MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-18-11.00006,标准存储,2025-01-26 22:25:17,934.46MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-19-11.00007,标准存储,2025-01-26 22:25:19,956.93MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-20-11.00008,标准存储,2025-01-26 22:25:19,926.12MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-21-11.00009,标准存储,2025-01-26 22:25:15,919.3MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-22-11.00010,标准存储,2025-01-26 22:25:14,904.68MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-23-11.00011,标准存储,2025-01-26 22:25:19,942.8MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-24-11.00012,标准存储,2025-01-26 22:25:21,926.71MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-25-11.00013,标准存储,2025-01-26 22:25:20,910.04MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-26-11.00014,标准存储,2025-01-26 22:25:17,886.36MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-27-11.00015,标准存储,2025-01-26 22:25:21,933.88MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-28-11.00016,标准存储,2025-01-26 22:25:21,909.32MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-29-11.00017,标准存储,2025-01-26 22:25:15,888.89MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-30-11.00018,标准存储,2025-01-26 22:25:21,921.32MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-31-11.00019,标准存储,2025-01-26 22:25:20,958.35MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-32-11.00020,标准存储,2025-01-26 22:25:16,994.31MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-33-11.00021,标准存储,2025-01-26 22:25:21,913.11MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-34-11.00022,标准存储,2025-01-26 22:25:18,841.99MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-35-11.00023,标准存储,2025-01-26 22:25:15,916.06MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-36-11.00024,标准存储,2025-01-26 22:25:14,929.81MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-37-11.00025,标准存储,2025-01-26 22:25:19,885.41MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-38-11.00026,标准存储,2025-01-26 22:25:17,922.69MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-39-11.00027,标准存储,2025-01-26 22:25:15,863MB,
0094,2025-01-26,14-07-54,full_record.2025-01-26-17-40-11.00028,标准存储,2025-01-26 22:25:17,494.64MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-21-21.00000,标准存储,2025-01-26 22:06:04,802.6MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-22-21.00001,标准存储,2025-01-26 22:06:06,810.27MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-23-21.00002,标准存储,2025-01-26 22:06:03,815.08MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-24-21.00003,标准存储,2025-01-26 22:06:04,820.93MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-25-21.00004,标准存储,2025-01-26 22:06:04,813.37MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-26-21.00005,标准存储,2025-01-26 22:06:07,812.27MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-27-21.00006,标准存储,2025-01-26 22:06:05,810.48MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-28-21.00007,标准存储,2025-01-26 22:06:03,799.6MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-29-21.00008,标准存储,2025-01-26 22:06:08,810.71MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-30-21.00009,标准存储,2025-01-26 22:06:07,809.94MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-31-21.00010,标准存储,2025-01-26 22:06:03,959.37MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-32-21.00011,标准存储,2025-01-26 22:06:04,999.48MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-33-21.00012,标准存储,2025-01-26 22:06:04,992.5MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-34-21.00013,标准存储,2025-01-26 22:06:02,998.59MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-35-21.00014,标准存储,2025-01-26 22:06:04,1000.61MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-36-21.00015,标准存储,2025-01-26 22:06:05,1005.56MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-37-21.00016,标准存储,2025-01-26 22:06:08,990.43MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-38-21.00017,标准存储,2025-01-26 22:06:05,1006.51MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-39-21.00018,标准存储,2025-01-26 22:06:06,969.31MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-40-21.00019,标准存储,2025-01-26 22:06:07,932.42MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-41-21.00020,标准存储,2025-01-26 22:06:01,943.01MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-42-21.00021,标准存储,2025-01-26 22:06:04,920.65MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-43-21.00022,标准存储,2025-01-26 22:06:04,926.4MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-44-21.00023,标准存储,2025-01-26 22:06:07,927.3MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-45-21.00024,标准存储,2025-01-26 22:06:06,938.92MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-46-21.00025,标准存储,2025-01-26 22:06:04,902.13MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-47-21.00026,标准存储,2025-01-26 22:06:07,804.07MB,
0094,2025-01-26,19-52-26,full_record.2025-01-26-20-48-21.00027,标准存储,2025-01-26 22:06:08,914.15MB,
