vehicle_id,date,time,full_record_name,,,,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-58-41.00084,标准存储,2025-02-06 00:08:29,876.86MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-15-59-41.00085,标准存储,2025-02-06 00:09:12,928.64MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-00-41.00086,标准存储,2025-02-06 00:08:37,975.29MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-01-41.00087,标准存储,2025-02-06 00:09:13,950.26MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-02-41.00088,标准存储,2025-02-06 00:09:17,945.81MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-03-41.00089,标准存储,2025-02-06 00:08:37,995.25MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-04-41.00090,标准存储,2025-02-06 00:10:34,939.33MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-05-41.00091,标准存储,2025-02-06 00:09:57,1000.01MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-06-41.00092,标准存储,2025-02-06 00:08:29,967.21MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-07-41.00093,标准存储,2025-02-06 00:09:17,925.58MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-08-41.00094,标准存储,2025-02-06 00:09:36,905.19MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-09-41.00095,标准存储,2025-02-06 00:09:57,953.92MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-10-41.00096,标准存储,2025-02-06 00:10:49,928.23MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-11-41.00097,标准存储,2025-02-06 00:10:14,957.53MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-12-41.00098,标准存储,2025-02-06 00:09:47,954.57MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-13-41.00099,标准存储,2025-02-06 00:10:24,932.16MB,
0094,2025-02-05,14-13-14,full_record.2025-02-05-16-14-41.00100,标准存储,2025-02-06 00:09:37,936.3MB,
